X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,body_Motion,pace_code,pace_value,incline_code,incline_pct,activity_details,bout_rest,epoch,actual_n_analyzed,trend,CC_type,CC,CC_bins,CC_all,CC_CI_pct,CC_CI_upper,CC_CI_lower,CC_pvalue,CC_significance,ES_type,ES,ES_CI_upper,ES_CI_lower,BA_LoA_upper,BA_LoA_lower,BA_LoA_width,devicemean,devicemean_SD,critmean,critmean_SD,device_v_crit,meandiff,meandiff_SD,meandiff_CI_upper,meandiff_CI_lower,MPE,MPE_bin,MPE_SD,MPE_significance_test,MPE_significance_num,MAD,MAD_SD,MAD_CI_upper,MAD_CI_lower,MAPE,MAPE_bin,MAPE_SD,MAPE_CI_upper,MAPE_CI_lower,RMSE,equivalencetesting,accuracypct,accuracypct_CI_upper,accuracypct_CI_lower,TEEstandardized,TEEstandardized_CI_upper,TEEstandardized_CI_lower,deviceSE,deviceCofV,critCofV,n_5pctofcrit,n_10pctofcrit,n_15pctofcrit,n_20pctofcrit,n_25pctofcrit,systematicbias_slope,systematicbias_intercept,systematicbias_probability,systematicbias_significance,Other
685,Zhang,2019,-,Controlled,EE,L/min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, right",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,30,17,13,recreationally active adults,A,H,20.2,1.7,74,13.9,171,10,25,3.98,"PA, USA",Run: Treadmill,Activity,At,Nr,R,2.24,N,NA,"run, 5 mph, 10 min (last 7 min of each trial used for analysis)",NA,unknown,30,low to moderate validity,Pearson,0.8,VS,0.8,NA,NA,NA,< .01,sig,NA,NA,NA,NA,NA,NA,NA,103.5,20.33,93.2,19.79,over,NA,NA,NA,NA,0.110515021,more 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,Zhang,2019,-,Controlled,EE,L/min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, right",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,30,17,13,recreationally active adults,A,H,20.2,1.7,74,13.9,171,10,25,3.98,"PA, USA",Walk: Treadmill,Activity,At,Nr,Nm,1.79,N,NA,"walk, 4 mph, 10 min (last 7 min of each trial used for analysis)",NA,unknown,30,low to moderate validity,Pearson,0.71,ST,0.71,NA,NA,NA,< .01,sig,NA,NA,NA,NA,NA,NA,NA,63.67,15.04,60.52,12.97,over,NA,NA,NA,NA,0.052048909,more 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,Zhang,2019,-,Controlled,EE,L/min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, right",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,30,17,13,recreationally active adults,A,H,20.2,1.7,74,13.9,171,10,25,3.98,"PA, USA",Run: Treadmill,Activity,At,Nr,R,2.68,N,NA,"run, 6 mph, 10 min (last 7 min of each trial used for analysis)",NA,unknown,30,low to moderate validity,Pearson,0.78,ST,0.78,NA,NA,NA,< .01,sig,NA,NA,NA,NA,NA,NA,NA,111.63,22.14,109.92,22.32,over,NA,NA,NA,NA,0.015556769,± 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688,Zhang,2019,-,Controlled,EE,L/min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, right",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,30,17,13,recreationally active adults,A,H,20.2,1.7,74,13.9,171,10,25,3.98,"PA, USA",Run: Treadmill,Activity,At,Nr,R,3.12,N,NA,"run, 7 mph, 10 min (last 7 min of each trial used for analysis)",NA,unknown,30,low to moderate validity,Pearson,0.83,VS,0.83,NA,NA,NA,< .01,sig,NA,NA,NA,NA,NA,NA,NA,121.1,26.18,126.74,26.67,under,NA,NA,NA,NA,-0.044500552,less -3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,Hwang,2019,-,Controlled,HR,bpm,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Prucka Electrophysiology),ECG,NA,NA,51,27,24,"SVT, EPS",A,NH,44.4,16.6,64.5,9.1,163.1,16.4,23.7,3,Korea,Electrophysiological Study,Rest,Se,NA,NA,NA,N,NA,"electrophysiological study, induced SVT",NA,beat-by-beat,28,good validity,ICC,0.9971,VS,0.9971,95,0.9986,0.9943,NA,NA,NA,NA,NA,NA,3.9,-6,9.9,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3% within ± 5 bpm,100% within ± 10 bpm,NA,NA,NA,NA,NA,NA,NA,NA
690,Lee,2018,-,Controlled,EE,kcal/min,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,wrist,full-text,y,Indirect calorimetry (Oxycon Mobile),indirect calorimetry,NA,NA,78,40,38,healthy adults,A,H,37.1,10.79,66,10.49,167.5,8.66,23.4,2.13,Korea,Swim,Activity,Mi,Ex,NA,NA,N,NA,"swim, 0.4 m/s, last 2 minutes of each activity analysed",NA,unknown,33,poor validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.48,2.11,3.78,1,over,NA,NA,NA,NA,1.507936508,more 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,Lee,2018,-,Controlled,EE,kcal/min,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,wrist,full-text,y,Indirect calorimetry (Oxycon Mobile),indirect calorimetry,NA,NA,78,40,38,healthy adults,A,H,37.1,10.79,66,10.49,167.5,8.66,23.4,2.13,Korea,Swim,Activity,Mi,Ex,NA,NA,N,NA,"swim, 0.6 m/s, last 2 minutes of each activity analysed",NA,unknown,60,poor validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.88,2.24,5.79,1.89,over,NA,NA,NA,NA,0.8791019,more 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,Lee,2018,-,Controlled,EE,kcal/min,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,wrist,full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,78,40,38,healthy adults,A,H,37.1,10.79,66,10.49,167.5,8.66,23.4,2.13,Korea,Swim,Activity,Mi,Ex,NA,NA,N,NA,"swim, 0.8 m/s, last 2 minutes of each activity analysed",NA,unknown,59,poor validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.13,2.52,8.06,2.22,over,NA,NA,NA,NA,0.504962779,more 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,Lee,2018,-,Controlled,EE,kcal/min,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,wrist,full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,78,40,38,healthy adults,A,H,37.1,10.79,66,10.49,167.5,8.66,23.4,2.13,Korea,Swim,Activity,Mi,Ex,NA,NA,N,NA,"swim, 1.0 m/s, last 2 minutes of each activity analysed",NA,unknown,41,poor validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.03,2.56,10.59,2.71,over,NA,NA,NA,NA,0.230406043,more 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,Koshy,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,wrist,full-text,y,Electrocardiography (IntelliVue system),ECG,NA,NA,102,66,36,"adults, hospitalized",OA,NH,68,15,NA,NA,NA,NA,NA,NA,"VIC, AUS",Rest: Supine,Rest,Se,NA,NA,NA,N,NA,"rest, supine, 30 min, atrial flutter, first minute of protocol disregarded",N/A,every 15 seconds,20,consistent in atrial flutter,Spearman,0.98,VS,0.98,NA,NA,NA,< .001,sig,NA,NA,NA,NA,8,-10,18,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99% within ± 10 bpm,NA,NA,NA,NA,NA,NA,NA,NA
695,Koshy,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,wrist,full-text,y,Electrocardiography (IntelliVue system),ECG,NA,NA,102,66,36,"adults, hospitalized",OA,NH,68,15,NA,NA,NA,NA,NA,NA,"VIC, AUS",Rest: Supine,Rest,Se,NA,NA,NA,N,NA,"rest, supine, 30 min, atrial fibrillation, first minute of protocol disregarded",N/A,every 15 seconds,32,significantly underestimate in atrial fibrillation,Spearman,0.09,VW,0.09,NA,NA,NA,< .001,sig,NA,NA,NA,NA,23,-79,102,NA,NA,NA,NA,NA,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15% within ± 10 bpm when ECG-HR ≥ 100 bpm
87% within ± 10 bpm when Fitbit-HR ≥ 100 bpm",NA,NA,NA,NA,NA,NA,NA,NA
696,Koshy,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,wrist,full-text,y,Electrocardiography (IntelliVue system),ECG,NA,NA,102,66,36,"adults, hospitalized",OA,NH,68,15,NA,NA,NA,NA,NA,NA,"VIC, AUS",Rest: Supine,Rest,Se,NA,NA,NA,N,NA,"rest, supine, 30 min, sinus rhythm, first minute of protocol disregarded",N/A,every 15 seconds,50,strong agreement in sinus rhythm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-9,17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,Cadmus-Bertram,2017,-,Controlled,HR,bpm,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, random",letter,y,Electrocardiography,ECG,NA,NA,40,20,20,healthy adults,A,H,49.3,9.5,NA,NA,NA,NA,25.1,3.9,"WI, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, seated, 10 min",NA,minute-by-minute,40,all of the trackers were better at rest than during moderately active exercise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,-10.5,19.7,NA,NA,NA,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,Cadmus-Bertram,2017,-,Controlled,HR,bpm,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, random",letter,y,Electrocardiography,ECG,NA,NA,40,20,20,healthy adults,A,H,49.3,9.5,NA,NA,NA,NA,25.1,3.9,"WI, USA",Run: Treadmill,Activity,At,Nr,Sp,self-selected (65% HRmax),N,NA,"run, self-selected pace (65% HRmax), 10 min",NA,minute-by-minute,40,all of the trackers were better at rest than during moderately active exercise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,-41,77,NA,NA,NA,NA,NA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
699,Degroote,2018,-,Free-Living,SC,steps/day,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, ND",full-text,y,Accelerometry (Actigraph GT3X+ [waist]),accelerometry,"waist, right",Waist/Hip,36,18,18,healthy adults,A,H,39.43,17.77,68.43,12.09,172.28,8.22,23,3.5,Belgium,Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,"2 days, waking hours, excepting water-based activities",NA,step-by-step,36,overestimate,ICC,0.792,ST,"ICC: 0.792
Spearman: 0.885",95,"ICC: 0.866
Sp: 0.939","ICC: 0.686
Sp: 0.798",< .001,sig,NA,NA,NA,NA,4052,-7470,11522,9127,5381,7459,3661,over,-1709,NA,NA,NA,0.223622469,more 10%,NA,4e-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,DeShaw,2018,-,Free-Living,SC,steps/day,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, ND",full-text,y,Accelerometry (ActivPAL [thigh]),accelerometry,"leg, right, midpoint of anterior surface of thigh",Thigh,61,28,33,healthy adults,A,H,41.8,9.3,85.9,20,172,8.2,28.9,5.8,"IA, USA",Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,1 week,NA,"AP: 1sec
FB: minute",61,overestimate,Pearson,0.76,ST,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8897,4781,7716,3942,over,1181,NA,4938.4,-7300.5,0.206,more 10%,0.516,NA,NA,NA,NA,NA,NA,0.3,NA,0.468,NA,NA,3334,"Equivalence zones (± 10% of mean):
FB: 8465.2, 9329.5
AP: 6944.7, 8487.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,Dondzila,2016,-,Controlled,EE,kcal/5 min,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, left",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,19,14,5,healthy adults,A,H,24.6,3.1,86.5,19.2,175.2,11.3,28,3.8,"MI, USA",Walk: Treadmill,Activity,At,Nr,Nm,1.79,N,NA,"walk, 4 mph, 5 min",5 min,unknown,19,underestimate,Pearson,0.52,MOD,0.52,NA,NA,NA,< .05,sig,NA,NA,NA,NA,NA,NA,NA,33.3,5.8,37.5,8.4,under,NA,NA,NA,NA,-0.112,less -3%,NA,< .05,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,Dondzila,2016,-,Controlled,EE,kcal/5 min,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, left",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,19,14,5,healthy adults,A,H,24.6,3.1,86.5,19.2,175.2,11.3,28,3.8,"MI, USA",Jog: Treadmill,Activity,At,Nr,R,2.24,N,NA,"jog, 5 mph, 5 min",5 min,unknown,19,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,4,56.1,13.9,under,NA,NA,NA,NA,-0.137254902,less -3%,NA,< .05,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,Dondzila,2016,-,Controlled,EE,kcal/5 min,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, left",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,19,14,5,healthy adults,A,H,24.6,3.1,86.5,19.2,175.2,11.3,28,3.8,"MI, USA",Run: Treadmill,Activity,At,Nr,R,2.68,N,NA,"run, 6 mph, 5 min",5 min,unknown,19,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,4.8,62.8,12.1,under,NA,NA,NA,NA,-0.224522293,less -3%,NA,< .05,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704,Hargens,2017,-,Free-Living,EE,kcal/day,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, ND",full-text,y,Accelerometry (Actigraph GT3X+ [hip]),accelerometry,"hip, right",Waist/Hip,22,7,15,"adults, healthy",A,H,30.8,11.4,73.1,17.4,169.4,8.6,25.3,4.4,"VA, USA",Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,"7 days during waking hours, excluding water-based activities",N/A,AG: 60s,22,"overestimate, p < .01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.82,76.99,1006.83,NA,NA,NA,NA,NA,580.41,NA,NA,NA,NA,NA,NA,NA,NA,580.4,NA,NA,NA,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,Hargens,2017,-,Free-Living,SC,steps/day,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, ND",full-text,y,Accelerometry (Actigraph GT3X+ [hip]),accelerometry,"hip, right",Waist/Hip,22,7,15,"adults, healthy",A,H,30.8,11.4,73.1,17.4,169.4,8.6,25.3,4.4,"VA, USA",Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,"7 days during waking hours, excluding water-based activities",N/A,AG: 60s,22,"overestimate, p < .01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6877.9,-3460.9,10338.8,NA,NA,NA,NA,over,1695.3,NA,NA,NA,0.179,more 10%,NA,NA,NA,2013.3,NA,NA,NA,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,Hergenroeder,2019,-,Controlled,SC,steps/100 steps,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,43,8,35,older adults,OA,H,87,5.7,68.3,13.4,1.61,0.09,26.1,4.1,"PA, USA",Walk: Overground,NA,Ao,C,Nm,> 1.0,N,NA,"walk, > 1.0 m/s pace, 100 steps x2, excluding assistive device",2 min,step-by-step,12,"low accuracy, increases with increased gait speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.1968,less -3%,0.1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
707,Hergenroeder,2019,-,Controlled,SC,steps/100 steps,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,43,8,35,older adults,OA,H,87,5.7,68.3,13.4,1.61,0.09,26.1,4.1,"PA, USA",Walk: Overground,NA,Ao,C,Nm,> 1.0,N,NA,"walk, > 1.0 m/s pace, 100 steps x2, including assistive device",2 min,step-by-step,13,"low accuracy, increases with increased gait speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.2586,less -3%,0.2854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
708,Hergenroeder,2019,-,Controlled,SC,steps/100 steps,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,43,8,35,older adults,OA,H,87,5.7,68.3,13.4,1.61,0.09,26.1,4.1,"PA, USA",Walk: Overground,NA,Ao,C,S,0.98,N,NA,"walk, self-selected usual pace, 100 steps x2, no gait aid (average 0.98 m/s)",2 min,step-by-step,22,"low accuracy, increases with increased gait speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.3588,less -3%,0.3304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,Hergenroeder,2019,-,Controlled,SC,steps/100 steps,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,43,8,35,older adults,OA,H,87,5.7,68.3,13.4,1.61,0.09,26.1,4.1,"PA, USA",Walk: Overground,NA,Ao,C,Sl,0.8-1.0,N,NA,"walk, 0.8-1.0 m/s pace, 100 steps x2",2 min,step-by-step,11,"low accuracy, increases with increased gait speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.566,less -3%,0.3484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,Hergenroeder,2019,-,Controlled,SC,steps/100 steps,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,43,8,35,older adults,OA,H,87,5.7,68.3,13.4,1.61,0.09,26.1,4.1,"PA, USA",Walk: Overground,NA,Ao,C,Sp,0.84,N,NA,"walk, self-selected usual pace, 100 steps x2, all (average 0.84 ± 0.24 m/s)",2 min,step-by-step,43,"low accuracy, increases with increased gait speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.6088,less -3%,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,Hergenroeder,2019,-,Controlled,SC,steps/100 steps,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,43,8,35,older adults,OA,H,87,5.7,68.3,13.4,1.61,0.09,26.1,4.1,"PA, USA",Walk: Overground,NA,Ao,C,Vs,0.69-0.79,N,NA,"walk, 0.69-0.79 m/s pace, 100 steps x2",2 min,step-by-step,12,"low accuracy, increases with increased gait speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.8334,less -3%,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,Hergenroeder,2019,-,Controlled,SC,steps/100 steps,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,43,8,35,older adults,OA,H,87,5.7,68.3,13.4,1.61,0.09,26.1,4.1,"PA, USA",Walk: Overground,NA,Ao,C,Vs,0.7,N,NA,"walk, self-selected usual pace, 100 steps x2, gait aid (average 0.70 m/s)",2 min,step-by-step,21,"low accuracy, increases with increased gait speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.8707,less -3%,0.2927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,Husted,2017,-,Controlled,SC,steps/5 min,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, right",full-text,y,Manual count,manual count,NA,NA,12,1,11,healthy adults,A,H,20.8,0.94,NA,NA,NA,NA,NA,NA,"NE, USA",Walk: Treadmill,NA,At,Nr,Nm,1.56,N,NA,"walk, 3.5 mph, 5 min",N/A,step-by-step,12,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-55,42.58,NA,NA,NA,NA,NA,< .001,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,Smith,2019,-,Controlled,SC,steps/140m,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, both",full-text,y,Manual count,manual count,NA,NA,32,21,11,"adults, lower limb prosthetics",A,NH,49.7,14,87.8,21.1,176.1,11.6,28.1,5.3,"AZ, USA",Walk: Overground,NA,Ao,Nr,Sp,self-selected,N,NA,"walk, self-selected pace, 140m",NA,full bout,10,good validity,ICC,0.86,VS,0.86,95,0.932,0.714,NA,NA,Cohen's d,0.28,NA,NA,32.3,-48.1,80.4,NA,NA,NA,NA,under,-7.8,20.1,NA,NA,-0.036,less -3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,Treacy,2017,-,Controlled,SC,steps/6 min,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, unaffected",full-text,y,Manual count,manual count,NA,NA,166,91,75,"inpatients, general rehab or stroke rehab",OA,NH,80,11,NA,NA,NA,NA,NA,NA,"NSW, AUS",Walk: Overground,NA,Ao,Nr,Sp,self-selected,N,NA,"6 minute walk test, self-selected pace, 6 min",NA,full bout,166,"underestimate, accuracy of all devices decreased with decreased speed",ICC,0.399,WK,0.399,95,0.654,-2.6e-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,152,under,NA,NA,NA,NA,-0.48,less -3%,0.43,NA,NA,182,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4% within ≤ 6 steps,0.28,NA,0.39,NA,NA,NA,NA,NA,recorded zeroes: 28%
